iter	Passed	Remaining
713	39691	15898
714	39808	15867
715	39871	15814
716	39901	15749
717	39930	15682
718	39962	15618
719	39998	15554
720	40031	15490
721	40062	15425
722	40097	15362
723	40130	15298
724	40164	15234
725	40191	15168
726	40220	15103
727	40268	15045
728	40297	14980
729	40335	14918
730	40362	14852
731	40394	14789
732	40426	14725
733	40462	14663
734	40492	14599
735	40654	14582
736	40693	14521
737	40723	14457
738	40759	14395
739	40792	14332
740	40826	14269
741	40855	14205
742	40897	14146
743	40935	14085
744	40970	14023
745	41108	13996
746	41170	13944
747	41204	13881
748	41238	13819
749	41268	13756
750	41403	13727
751	41461	13673
752	41489	13609
753	41526	13548
754	41559	13486
755	41589	13423
756	41626	13362
757	41668	13303
758	41791	13269
759	41864	13220
760	41905	13160
761	41938	13099
762	41972	13037
763	41997	12973
764	42031	12911
765	42066	12850
766	42100	12789
767	42129	12726
768	42157	12663
769	42186	12601
770	42217	12539
771	42250	12478
772	42277	12415
773	42303	12352
774	42332	12290
775	42361	12227
776	42389	12165
777	42419	12104
778	42568	12076
779	42607	12017
780	42633	11954
781	42679	11897
782	42837	11871
783	42894	11817
784	42928	11757
785	42967	11698
786	43002	11638
787	43037	11578
788	43068	11517
789	43100	11457
790	43128	11395
791	43156	11333
792	43355	11317
793	43406	11261
794	43456	11205
795	43543	11159
796	43639	11115
797	43712	11065
798	43808	11020
799	43889	10972
800	43926	10913
801	43969	10855
802	44004	10795
803	44040	10736
804	44081	10678
805	44119	10619
806	44153	10559
807	44184	10499
808	44321	10464
809	44374	10408
810	44420	10352
811	44453	10292
812	44486	10232
813	44517	10172
814	44550	10112
815	44582	10052
816	44613	9992
817	44647	9933
818	44690	9876
819	44732	9819
820	44776	9762
821	44916	9726
822	44974	9672
823	45005	9612
824	45036	9553
825	45067	9493
826	45098	9434
827	45127	9374
828	45167	9316
829	45205	9258
830	45238	9200
831	45269	9141
832	45304	9082
833	45336	9023
834	45365	8964
835	45457	8917
836	45546	8869
837	45625	8820
838	45660	8762
839	45694	8703
840	45732	8646
841	45867	8606
842	45920	8552
843	45951	8493
844	46002	8438
845	46065	8385
846	46111	8329
847	46148	8271
848	46190	8215
849	46226	8157
850	46262	8099
851	46298	8042
852	46333	7984
853	46366	7926
854	46497	7885
855	46558	7832
856	46591	7774
857	46620	7715
858	46651	7657
859	46687	7600
860	46723	7543
861	46756	7485
862	46793	7428
863	46829	7371
864	46862	7313
865	46893	7256
866	46933	7199
867	46976	7143
868	47004	7085
869	47033	7027
870	47061	6970
871	47090	6912
872	47122	6855
873	47151	6797
874	47186	6740
